Obs,year,nui,ciiu3,region,forpro,fabval,expval,va,emptot,rempag,vstk
99,2001,10117,1541,2,1,78680,0,43143,12,19233,1509
100,2001,10118,1810,2,1,148496,0,8875,7,9637,16589
101,2001,10119,1541,2,1,97259,0,70123,16,30327,975
102,2001,10120,2922,2,3,0,0,995739,42,265750,"1,20E+06"
103,2001,10121,1512,2,1,67150,0,44570,11,29109,17943
104,2001,10122,1512,2,2,355800,81653,95655,10,10705,0
105,2001,10123,1541,3,1,29640,0,897,7,11090,3103
106,2001,10124,3610,3,1,18430,0,95573,8,15271,108101
107,2001,10125,1541,3,1,147574,0,70478,18,38722,120452
108,2001,10126,2219,3,1,427288,0,171780,10,45480,54405
109,2001,10127,1541,3,1,380284,0,310202,53,103191,497305
110,2001,10128,2219,3,1,42995,0,38284,7,14458,28000
111,2001,10129,2811,3,1,140824,0,79861,7,32254,10883
112,2001,10130,2812,3,1,53521,0,50890,12,29921,31913
113,2001,10131,2811,3,1,182290,0,664175,86,405160,33844
114,2001,10132,2219,3,1,0,0,155093,17,43315,23026
115,2001,10133,2924,3,1,196241,0,186551,23,67893,143362
116,2001,10134,1541,3,1,41188,0,89164,15,20401,2465
117,2001,10135,3511,3,1,0,0,1053262,101,590176,526400
118,2001,10136,1541,3,1,128564,0,50901,6,20977,33238
119,2001,10137,1541,3,1,169142,0,82402,19,42900,23647
120,2001,10138,2812,3,1,1153510,0,1333978,174,620480,586882
121,2001,10139,1541,3,1,148785,0,41859,13,22304,32252
122,2001,10140,2811,3,1,267050,0,326419,39,181066,97411
123,2001,10141,1512,3,1,946438,547085,356687,12,39037,77724
124,2001,10142,1512,13,1,605711,509233,256509,23,26138,292609
125,2001,10143,2710,3,1,55429035,2399140,16539391,414,3944000,"3,60E+08"
126,2001,10144,1541,3,1,55984,0,12616,13,24136,7808
127,2001,10145,1551,3,1,105680,0,131017,20,25640,41029
128,2001,10146,1551,4,1,14199860,36329,11024419,501,2353585,"8,20E+06"
129,2001,10147,3511,4,1,139621,0,110146,9,29226,202893
130,2001,10148,1541,4,1,64059,0,24065,7,9360,3788
131,2001,10149,3610,4,1,156707,0,111553,19,27266,122726
132,2001,10150,1920,4,1,708479,0,754869,76,332931,867672
133,2001,10151,1541,4,1,86199,0,54823,10,20107,48938
134,2001,10152,3511,4,1,83339,0,35304,13,35815,113682
135,2001,10154,1541,4,1,272562,0,114081,22,44972,164776
136,2001,10155,1541,4,1,172863,0,65623,16,27848,32710
137,2001,10156,1520,4,1,1293167,0,681672,33,257371,751397
138,2001,10157,1513,4,1,406442,0,189140,36,73048,343719
139,2001,10158,2212,4,1,249536,0,1427853,80,554639,217082
140,2001,10159,2219,4,1,255827,0,208282,14,67594,33100
141,2001,10160,1541,4,1,58820,0,25393,11,20399,14088
142,2001,10161,1541,4,1,303274,0,205877,24,65264,159926
143,2001,10162,1541,4,1,234624,0,113006,23,37789,84786
144,2001,10163,1541,4,1,164169,0,117853,19,53096,73030
145,2001,10164,3610,4,1,66459,0,43808,14,25742,52734
146,2001,10165,1549,4,1,110195,0,22766,10,12180,3702
147,2001,10166,1512,4,1,1278303,1036432,516446,104,405044,968217
148,2001,10167,2694,4,1,603378,0,533785,28,57684,0
149,2001,10168,1554,4,3,14222284,0,16501195,242,1232307,"7,70E+06"
150,2001,10169,3610,4,1,3858666,0,3367252,253,978251,"1,40E+06"
151,2001,10170,1511,4,1,0,0,504079,186,346976,133303
152,2001,10171,3610,4,1,544528,0,361692,32,106689,134646
153,2001,10172,2913,4,1,45356,0,22369,11,10343,57791
154,2001,10173,1541,4,1,79200,0,22993,9,10310,32554
155,2001,10174,1531,4,1,2624144,0,1072813,52,243077,223097
